Treatment,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,DMSO,Eto_1,Eto_10,Eto_100,DMSO,Eto_1,Eto_10,Eto_100,,
D,,,DMSO,Eto_1,Eto_10,Eto_100,DMSO,Eto_1,Eto_10,Eto_100,,
E,,,DMSO,Eto_1,Eto_10,Eto_100,DMSO,Eto_1,Eto_10,Eto_100,,
F,,,DMSO,Eto_1,Eto_10,Eto_100,DMSO,Eto_1,Eto_10,Eto_100,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Group,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,WT,WT,WT,WT,Variant,Variant,Variant,Variant,,
D,,,WT,WT,WT,WT,Variant,Variant,Variant,Variant,,
E,,,WT,WT,WT,WT,Variant,Variant,Variant,Variant,,
F,,,WT,WT,WT,WT,Variant,Variant,Variant,Variant,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
